object,radius,mass,density,gravity,class,img
Earth,6371,5973.6,5.514,9.80665,Planet,gfx/earth.png
Venus,6051.8,4868.5,5.243,8.872,Planet,gfx/venus.png
Mars,3389.5,641.85,3.9335,3.7,Planet,gfx/mars.png
Ganymede,2634.1,148.2,1.936,1.428,Moon of Jupiter,gfx/ganymede.png
Titan,2576,134.5,1.8798,1.354,Moon of Saturn,gfx/titan.png
Mercury,2439.7,330.2,5.427,3.7,Planet,gfx/mercury.png
Callisto,2410.3,107.6,1.8344,1.23603,Moon of Jupiter,gfx/callisto.png
Io,1821.6,89.3,3.528,1.797,Moon of Jupiter,gfx/io.png
Moon,1737.1,73.5,3.3464,1.625,Moon of Earth,gfx/moon.png
Europa,1560.8,48,3.013,1.316,Moon of Jupiter,gfx/europa.png
Triton,1353,21.5,2.061,0.782,Moon of Neptune,gfx/triton.png
Pluto,1186,13.105,1.87,0.61,Dwarf Planet,gfx/pluto.png
Titania,788.4,3.526,1.711,0.378,Moon of Uranus,gfx/titania.png
Rhea,763.8,2.3166,1.236,0.26,Moon of Saturn,gfx/rhea.png
Oberon,761.4,3.014,1.63,0.347,Moon of Uranus,gfx/oberon.png
Iapetus,734.5,1.9739,1.088,0.223,Moon of Saturn,gfx/iapetus.png
Charon,606,1.52,1.702,0.279,Moon of Pluto,gfx/charon.png
Umbriel,584.7,1.2,1.39,0.234,Moon of Uranus,gfx/umbriel.png
Ariel,578.9,1.35,1.66,0.269,Moon of Uranus,gfx/ariel.png
Dione,561.4,1.096,1.478,0.232,Moon of Saturn,gfx/dione.png
Tethys,531.1,0.6173,0.984,0.145,Moon of Saturn,gfx/tethys.png
Ceres,473,0.939,2.17,0.29,Dwarf Planet,gfx/ceres.png
